161;bidirectional;DDR3-PHY-1.2Core
162;bidirectional;DDR3-PHY-VDDQ
163;bidirectional;DDR3-PHY-3.3PLL
164;bidirectional;DDR3-PHY-VREF
165;bidirectional;DDR3-PHY-PZQ
166;bidirectional;DDR3-K-VDDQ
167;bidirectional;DCDC15_VI_VDD33
168;bidirectional;DCDC15_VO
169;bidirectional;DCDC15_GND
170;bidirectional;DCDC12_GND
171;bidirectional;DCDC12_VO
172;bidirectional;DCDC12_VI_VDD33
173;bidirectional;OTP_AVDDQ
174;bidirectional;GPIO_P0_00
175;bidirectional;GPIO_P0_01
176;bidirectional;GPIO_P0_02
